Observation id,Observation date,Description,Observation type,Source,Time offset (s),Coding duration,Media duration (s),FPS (frame/s),Subject,Observation duration by subject by observation,Behavior,Behavioral category,Modifier #1,Modifier #2,Modifier #3,Modifier #4,Modifier #5,Behavior type,Start (s),Stop (s),Duration (s),Media file name,Image index start,Image index stop,Image file path start,Image file path stop,Comment start,Comment stop
N36_m3_j,2023-12-08 00:09:38,"traveling,resting, foraging type2s!",Media file,player #1:nest_36_data\VIDEO\MOVI0003.avi,0.0,1799.978,1800.033,30.000,No focal subject,4885.747,obscured,view,feathers,,,,,STATE,0.033,37.267,37.234,nest_36_data\VIDEO\MOVI0003.avi,1,1118,,,,
N36_m3_j,2023-12-08 00:09:38,"traveling,resting, foraging type2s!",Media file,player #1:nest_36_data\VIDEO\MOVI0003.avi,0.0,1799.978,1800.033,30.000,No focal subject,4885.747,partially obscured,view,blurry/water,,,,,STATE,37.267,1166.699,1129.432,nest_36_data\VIDEO\MOVI0003.avi,1118,NA,,,,
N36_m3_j,2023-12-08 00:09:38,"traveling,resting, foraging type2s!",Media file,player #1:nest_36_data\VIDEO\MOVI0003.avi,0.0,1799.978,1800.033,30.000,No focal subject,4885.747,Airborne,position,,,,,,STATE,37.300,1164.332,1127.032,nest_36_data\VIDEO\MOVI0003.avi,1119,NA,,,,
N36_m3_j,2023-12-08 00:09:38,"traveling,resting, foraging type2s!",Media file,player #1:nest_36_data\VIDEO\MOVI0003.avi,0.0,1799.978,1800.033,30.000,No focal subject,4885.747,weather notes,Not defined,heavy partial clouds,None,None,,,STATE,38.200,1800.011,1761.811,nest_36_data\VIDEO\MOVI0003.avi,1146,53999,,,,
N36_m3_j,2023-12-08 00:09:38,"traveling,resting, foraging type2s!",Media file,player #1:nest_36_data\VIDEO\MOVI0003.avi,0.0,1799.978,1800.033,30.000,No focal subject,4885.747,other Birds present,view,0,None,None,None,None,POINT,60.000,60.000,NA,nest_36_data\VIDEO\MOVI0003.avi,1800,1800,,,,
N36_m3_j,2023-12-08 00:09:38,"traveling,resting, foraging type2s!",Media file,player #1:nest_36_data\VIDEO\MOVI0003.avi,0.0,1799.978,1800.033,30.000,No focal subject,4885.747,Eye/bill visible,view,,,,,,POINT,71.500,71.500,NA,nest_36_data\VIDEO\MOVI0003.avi,2145,2145,,,,
N36_m3_j,2023-12-08 00:09:38,"traveling,resting, foraging type2s!",Media file,player #1:nest_36_data\VIDEO\MOVI0003.avi,0.0,1799.978,1800.033,30.000,No focal subject,4885.747,other Birds present,view,0,None,None,None,None,POINT,90.000,90.000,NA,nest_36_data\VIDEO\MOVI0003.avi,2700,2700,,,,
N36_m3_j,2023-12-08 00:09:38,"traveling,resting, foraging type2s!",Media file,player #1:nest_36_data\VIDEO\MOVI0003.avi,0.0,1799.978,1800.033,30.000,No focal subject,4885.747,other Birds present,view,0,None,None,None,None,POINT,120.033,120.033,NA,nest_36_data\VIDEO\MOVI0003.avi,3601,3601,,,,
N36_m3_j,2023-12-08 00:09:38,"traveling,resting, foraging type2s!",Media file,player #1:nest_36_data\VIDEO\MOVI0003.avi,0.0,1799.978,1800.033,30.000,No focal subject,4885.747,Identifiable/individual birds,view,2,unkown,adult,parallel flight,,POINT,122.267,122.267,NA,nest_36_data\VIDEO\MOVI0003.avi,3668,3668,,,,
N36_m3_j,2023-12-08 00:09:38,"traveling,resting, foraging type2s!",Media file,player #1:nest_36_data\VIDEO\MOVI0003.avi,0.0,1799.978,1800.033,30.000,No focal subject,4885.747,other Birds present,view,3,unknown,flying,close - well defined body and movements,close,POINT,150.000,150.000,NA,nest_36_data\VIDEO\MOVI0003.avi,4500,4500,,,,
N36_m3_j,2023-12-08 00:09:38,"traveling,resting, foraging type2s!",Media file,player #1:nest_36_data\VIDEO\MOVI0003.avi,0.0,1799.978,1800.033,30.000,No focal subject,4885.747,splasH,view,,,,,,POINT,150.100,150.100,NA,nest_36_data\VIDEO\MOVI0003.avi,4503,4503,,,,
N36_m3_j,2023-12-08 00:09:38,"traveling,resting, foraging type2s!",Media file,player #1:nest_36_data\VIDEO\MOVI0003.avi,0.0,1799.978,1800.033,30.000,No focal subject,4885.747,Eye/bill visible,view,,,,,,POINT,177.500,177.500,NA,nest_36_data\VIDEO\MOVI0003.avi,5325,5325,,,,
N36_m3_j,2023-12-08 00:09:38,"traveling,resting, foraging type2s!",Media file,player #1:nest_36_data\VIDEO\MOVI0003.avi,0.0,1799.978,1800.033,30.000,No focal subject,4885.747,other Birds present,view,0,None,None,None,None,POINT,180.000,180.000,NA,nest_36_data\VIDEO\MOVI0003.avi,5400,5400,,,,
N36_m3_j,2023-12-08 00:09:38,"traveling,resting, foraging type2s!",Media file,player #1:nest_36_data\VIDEO\MOVI0003.avi,0.0,1799.978,1800.033,30.000,No focal subject,4885.747,Eye/bill visible,view,,,,,,POINT,188.267,188.267,NA,nest_36_data\VIDEO\MOVI0003.avi,5648,5648,,,,
N36_m3_j,2023-12-08 00:09:38,"traveling,resting, foraging type2s!",Media file,player #1:nest_36_data\VIDEO\MOVI0003.avi,0.0,1799.978,1800.033,30.000,No focal subject,4885.747,other Birds present,view,0,None,None,None,None,POINT,210.000,210.000,NA,nest_36_data\VIDEO\MOVI0003.avi,6300,6300,,,,
N36_m3_j,2023-12-08 00:09:38,"traveling,resting, foraging type2s!",Media file,player #1:nest_36_data\VIDEO\MOVI0003.avi,0.0,1799.978,1800.033,30.000,No focal subject,4885.747,Eye/bill visible,view,,,,,,POINT,216.067,216.067,NA,nest_36_data\VIDEO\MOVI0003.avi,6482,6482,,,,
