Observation id,Observation date,Description,Observation type,Source,Time offset (s),Coding duration,Media duration (s),FPS (frame/s),Subject,Observation duration by subject by observation,Behavior,Behavioral category,Modifier #1,Modifier #2,Modifier #3,Modifier #4,Modifier #5,Behavior type,Start (s),Stop (s),Duration (s),Media file name,Image index start,Image index stop,Image file path start,Image file path stop,Comment start,Comment stop
N33_m0_j+as,2024-02-29 12:27:40,"foraging, PCA incl type3, tuna present resting",Media file,player #1:nest_33_data\VIDEO\MOVI0000.avi,0.0,1799.933,1800.033,30.000,No focal subject,4541.455,Airborne,position,,,,,,STATE,0.067,42.999,42.932,nest_33_data\VIDEO\MOVI0000.avi,2,NA,,,,
N33_m0_j+as,2024-02-29 12:27:40,"foraging, PCA incl type3, tuna present resting",Media file,player #1:nest_33_data\VIDEO\MOVI0000.avi,0.0,1799.933,1800.033,30.000,No focal subject,4541.455,weather notes,Not defined,heavy partial clouds,None,3 - large wavelets crests breaking some scttered whitecaps,,,STATE,1.967,1800.000,1798.033,nest_33_data\VIDEO\MOVI0000.avi,59,53999,,,,
N33_m0_j+as,2024-02-29 12:27:40,"foraging, PCA incl type3, tuna present resting",Media file,player #1:nest_33_data\VIDEO\MOVI0000.avi,0.0,1799.933,1800.033,30.000,No focal subject,4541.455,Eye/bill visible,view,,,,,,POINT,7.300,7.300,NA,nest_33_data\VIDEO\MOVI0000.avi,219,219,,,,
N33_m0_j+as,2024-02-29 12:27:40,"foraging, PCA incl type3, tuna present resting",Media file,player #1:nest_33_data\VIDEO\MOVI0000.avi,0.0,1799.933,1800.033,30.000,No focal subject,4541.455,Eye/bill visible,view,,,,,,POINT,7.767,7.767,NA,nest_33_data\VIDEO\MOVI0000.avi,233,233,,,,
N33_m0_j+as,2024-02-29 12:27:40,"foraging, PCA incl type3, tuna present resting",Media file,player #1:nest_33_data\VIDEO\MOVI0000.avi,0.0,1799.933,1800.033,30.000,No focal subject,4541.455,Identifiable/individual birds,view,1,RFBO,adult,cross paths,,POINT,23.967,23.967,NA,nest_33_data\VIDEO\MOVI0000.avi,719,719,,,,
N33_m0_j+as,2024-02-29 12:27:40,"foraging, PCA incl type3, tuna present resting",Media file,player #1:nest_33_data\VIDEO\MOVI0000.avi,0.0,1799.933,1800.033,30.000,No focal subject,4541.455,other Birds present,view,0,RFBO,flying,close - well defined body and movements,close,POINT,30.000,30.000,NA,nest_33_data\VIDEO\MOVI0000.avi,900,900,,,,
N33_m0_j+as,2024-02-29 12:27:40,"foraging, PCA incl type3, tuna present resting",Media file,player #1:nest_33_data\VIDEO\MOVI0000.avi,0.0,1799.933,1800.033,30.000,No focal subject,4541.455,Eye/bill visible,view,,,,,,POINT,39.467,39.467,NA,nest_33_data\VIDEO\MOVI0000.avi,1184,1184,,,,
N33_m0_j+as,2024-02-29 12:27:40,"foraging, PCA incl type3, tuna present resting",Media file,player #1:nest_33_data\VIDEO\MOVI0000.avi,0.0,1799.933,1800.033,30.000,No focal subject,4541.455,Eye/bill visible,view,,,,,,POINT,40.667,40.667,NA,nest_33_data\VIDEO\MOVI0000.avi,1220,1220,,,,
N33_m0_j+as,2024-02-29 12:27:40,"foraging, PCA incl type3, tuna present resting",Media file,player #1:nest_33_data\VIDEO\MOVI0000.avi,0.0,1799.933,1800.033,30.000,No focal subject,4541.455,Landing,position,,,,,,POINT,43.000,43.000,NA,nest_33_data\VIDEO\MOVI0000.avi,1290,1290,,,,
N33_m0_j+as,2024-02-29 12:27:40,"foraging, PCA incl type3, tuna present resting",Media file,player #1:nest_33_data\VIDEO\MOVI0000.avi,0.0,1799.933,1800.033,30.000,No focal subject,4541.455,obscured,view,feathers,,,,,STATE,44.400,275.899,231.499,nest_33_data\VIDEO\MOVI0000.avi,1332,NA,,,,
