Observation id,Observation date,Description,Observation type,Source,Time offset (s),Coding duration,Media duration (s),FPS (frame/s),Subject,Observation duration by subject by observation,Behavior,Behavioral category,Modifier #1,Modifier #2,Modifier #3,Modifier #4,Behavior type,Start (s),Stop (s),Duration (s),Media file name,Image index start,Image index stop,Image file path start,Image file path stop,Comment start,Comment stop
5312203_m5,2025-11-04 13:41:11.587,,Media file,player #1:camera data\53103videos\MOVI0005.avi,0.0,1799.911,1800.033,30.000,No focal subject,4332.864,unknownState,position,,,,,STATE,0.100,915.766,915.666,camera data\53103videos\MOVI0005.avi,3,NA,,,,
5312203_m5,2025-11-04 13:41:11.587,,Media file,player #1:camera data\53103videos\MOVI0005.avi,0.0,1799.911,1800.033,30.000,No focal subject,4332.864,obscured,view,feathers,,,,STATE,0.100,913.566,913.466,camera data\53103videos\MOVI0005.avi,3,NA,,,,
5312203_m5,2025-11-04 13:41:11.587,,Media file,player #1:camera data\53103videos\MOVI0005.avi,0.0,1799.911,1800.033,30.000,No focal subject,4332.864,partially obscured,view,blurry/water,,,,STATE,913.567,1800.011,886.444,camera data\53103videos\MOVI0005.avi,27407,54000,,,,
5312203_m5,2025-11-04 13:41:11.587,,Media file,player #1:camera data\53103videos\MOVI0005.avi,0.0,1799.911,1800.033,30.000,No focal subject,4332.864,Airborne,position,,,,,STATE,915.767,1800.011,884.244,camera data\53103videos\MOVI0005.avi,27473,54000,,,,
5312203_m5,2025-11-04 13:41:11.587,,Media file,player #1:camera data\53103videos\MOVI0005.avi,0.0,1799.911,1800.033,30.000,No focal subject,4332.864,Eye/bill visible,view,,,,,POINT,1054.667,1054.667,NA,camera data\53103videos\MOVI0005.avi,31640,31640,,,,
5312203_m5,2025-11-04 13:41:11.587,,Media file,player #1:camera data\53103videos\MOVI0005.avi,0.0,1799.911,1800.033,30.000,No focal subject,4332.864,weather notes,Not defined,heavy partial clouds,None,"2 - small wavelets glassy crests not breaking,3 - large wavelets crests breaking some scttered whitecaps",,STATE,1066.967,1800.011,733.044,camera data\53103videos\MOVI0005.avi,32009,54000,,,,
5312203_m5,2025-11-04 13:41:11.587,,Media file,player #1:camera data\53103videos\MOVI0005.avi,0.0,1799.911,1800.033,30.000,No focal subject,4332.864,unidentified Object,view,,,,,POINT,1068.333,1068.333,NA,camera data\53103videos\MOVI0005.avi,32050,32050,,,some sort of bug??? crawling down neck,
5312203_m5,2025-11-04 13:41:11.587,,Media file,player #1:camera data\53103videos\MOVI0005.avi,0.0,1799.911,1800.033,30.000,No focal subject,4332.864,Eye/bill visible,view,,,,,POINT,1139.600,1139.600,NA,camera data\53103videos\MOVI0005.avi,34188,34188,,,,
5312203_m5,2025-11-04 13:41:11.587,,Media file,player #1:camera data\53103videos\MOVI0005.avi,0.0,1799.911,1800.033,30.000,No focal subject,4332.864,Eye/bill visible,view,,,,,POINT,1549.167,1549.167,NA,camera data\53103videos\MOVI0005.avi,46475,46475,,,,
5312203_m5,2025-11-04 13:41:11.587,,Media file,player #1:camera data\53103videos\MOVI0005.avi,0.0,1799.911,1800.033,30.000,No focal subject,4332.864,Identifiable/individual birds,view,1,RFBO,adult,cross paths,POINT,1749.567,1749.567,NA,camera data\53103videos\MOVI0005.avi,52487,52487,,,,
5312203_m5,2025-11-04 13:41:11.587,,Media file,player #1:camera data\53103videos\MOVI0005.avi,0.0,1799.911,1800.033,30.000,No focal subject,4332.864,Eye/bill visible,view,,,,,POINT,1761.200,1761.200,NA,camera data\53103videos\MOVI0005.avi,52836,52836,,,,
5312203_m5,2025-11-04 13:41:11.587,,Media file,player #1:camera data\53103videos\MOVI0005.avi,0.0,1799.911,1800.033,30.000,No focal subject,4332.864,Identifiable/individual birds,view,2,RFBO,adult,cross paths,POINT,1765.900,1765.900,NA,camera data\53103videos\MOVI0005.avi,52977,52977,,,,
