Observation id,Observation date,Description,Observation type,Source,Time offset (s),Coding duration,Media duration (s),FPS (frame/s),Subject,Observation duration by subject by observation,Behavior,Behavioral category,Modifier #1,Modifier #2,Modifier #3,Modifier #4,Behavior type,Start (s),Stop (s),Duration (s),Media file name,Image index start,Image index stop,Image file path start,Image file path stop,Comment start,Comment stop
N62_m3_as,2025-08-28 12:58:17,"traveling, foraging (t2s)",Media file,player #1:Nov2024_RFBO\62\video\MOVI0003.avi,0.0,1792.614,1792.567,30.000,No focal subject,3785.103,Airborne,position,,,,,STATE,0.067,270.699,270.632,Nov2024_RFBO\62\video\MOVI0003.avi,2,NA,,,,
N62_m3_as,2025-08-28 12:58:17,"traveling, foraging (t2s)",Media file,player #1:Nov2024_RFBO\62\video\MOVI0003.avi,0.0,1792.614,1792.567,30.000,No focal subject,3785.103,weather notes,Not defined,heavy partial clouds,"rain,sun glare","3 - large wavelets crests breaking some scttered whitecaps,4 - small to moderate waves numerous whitecaps,5 - moderate waves many whitecaps some spray",,STATE,0.067,1792.681,1792.614,Nov2024_RFBO\62\video\MOVI0003.avi,2,53780,,,,
N62_m3_as,2025-08-28 12:58:17,"traveling, foraging (t2s)",Media file,player #1:Nov2024_RFBO\62\video\MOVI0003.avi,0.0,1792.614,1792.567,30.000,No focal subject,3785.103,Eye/bill visible,view,,,,,POINT,1.867,1.867,NA,Nov2024_RFBO\62\video\MOVI0003.avi,56,56,,,,
N62_m3_as,2025-08-28 12:58:17,"traveling, foraging (t2s)",Media file,player #1:Nov2024_RFBO\62\video\MOVI0003.avi,0.0,1792.614,1792.567,30.000,No focal subject,3785.103,Eye/bill visible,view,,,,,POINT,2.167,2.167,NA,Nov2024_RFBO\62\video\MOVI0003.avi,65,65,,,,
N62_m3_as,2025-08-28 12:58:17,"traveling, foraging (t2s)",Media file,player #1:Nov2024_RFBO\62\video\MOVI0003.avi,0.0,1792.614,1792.567,30.000,No focal subject,3785.103,Eye/bill visible,view,,,,,POINT,13.467,13.467,NA,Nov2024_RFBO\62\video\MOVI0003.avi,404,404,,,,
N62_m3_as,2025-08-28 12:58:17,"traveling, foraging (t2s)",Media file,player #1:Nov2024_RFBO\62\video\MOVI0003.avi,0.0,1792.614,1792.567,30.000,No focal subject,3785.103,Eye/bill visible,view,,,,,POINT,42.367,42.367,NA,Nov2024_RFBO\62\video\MOVI0003.avi,1271,1271,,,,
N62_m3_as,2025-08-28 12:58:17,"traveling, foraging (t2s)",Media file,player #1:Nov2024_RFBO\62\video\MOVI0003.avi,0.0,1792.614,1792.567,30.000,No focal subject,3785.103,Eye/bill visible,view,,,,,POINT,61.033,61.033,NA,Nov2024_RFBO\62\video\MOVI0003.avi,1831,1831,,,,
N62_m3_as,2025-08-28 12:58:17,"traveling, foraging (t2s)",Media file,player #1:Nov2024_RFBO\62\video\MOVI0003.avi,0.0,1792.614,1792.567,30.000,No focal subject,3785.103,Eye/bill visible,view,,,,,POINT,61.467,61.467,NA,Nov2024_RFBO\62\video\MOVI0003.avi,1844,1844,,,,
N62_m3_as,2025-08-28 12:58:17,"traveling, foraging (t2s)",Media file,player #1:Nov2024_RFBO\62\video\MOVI0003.avi,0.0,1792.614,1792.567,30.000,No focal subject,3785.103,Eye/bill visible,view,,,,,POINT,65.467,65.467,NA,Nov2024_RFBO\62\video\MOVI0003.avi,1964,1964,,,,
N62_m3_as,2025-08-28 12:58:17,"traveling, foraging (t2s)",Media file,player #1:Nov2024_RFBO\62\video\MOVI0003.avi,0.0,1792.614,1792.567,30.000,No focal subject,3785.103,Eye/bill visible,view,,,,,POINT,75.633,75.633,NA,Nov2024_RFBO\62\video\MOVI0003.avi,2269,2269,,,,
N62_m3_as,2025-08-28 12:58:17,"traveling, foraging (t2s)",Media file,player #1:Nov2024_RFBO\62\video\MOVI0003.avi,0.0,1792.614,1792.567,30.000,No focal subject,3785.103,Eye/bill visible,view,,,,,POINT,76.067,76.067,NA,Nov2024_RFBO\62\video\MOVI0003.avi,2282,2282,,,,
N62_m3_as,2025-08-28 12:58:17,"traveling, foraging (t2s)",Media file,player #1:Nov2024_RFBO\62\video\MOVI0003.avi,0.0,1792.614,1792.567,30.000,No focal subject,3785.103,Eye/bill visible,view,,,,,POINT,85.867,85.867,NA,Nov2024_RFBO\62\video\MOVI0003.avi,2576,2576,,,,
N62_m3_as,2025-08-28 12:58:17,"traveling, foraging (t2s)",Media file,player #1:Nov2024_RFBO\62\video\MOVI0003.avi,0.0,1792.614,1792.567,30.000,No focal subject,3785.103,Eye/bill visible,view,,,,,POINT,98.767,98.767,NA,Nov2024_RFBO\62\video\MOVI0003.avi,2963,2963,,,,
N62_m3_as,2025-08-28 12:58:17,"traveling, foraging (t2s)",Media file,player #1:Nov2024_RFBO\62\video\MOVI0003.avi,0.0,1792.614,1792.567,30.000,No focal subject,3785.103,Eye/bill visible,view,,,,,POINT,112.000,112.000,NA,Nov2024_RFBO\62\video\MOVI0003.avi,3360,3360,,,,
N62_m3_as,2025-08-28 12:58:17,"traveling, foraging (t2s)",Media file,player #1:Nov2024_RFBO\62\video\MOVI0003.avi,0.0,1792.614,1792.567,30.000,No focal subject,3785.103,Eye/bill visible,view,,,,,POINT,143.300,143.300,NA,Nov2024_RFBO\62\video\MOVI0003.avi,4299,4299,,,,
N62_m3_as,2025-08-28 12:58:17,"traveling, foraging (t2s)",Media file,player #1:Nov2024_RFBO\62\video\MOVI0003.avi,0.0,1792.614,1792.567,30.000,No focal subject,3785.103,Eye/bill visible,view,,,,,POINT,164.567,164.567,NA,Nov2024_RFBO\62\video\MOVI0003.avi,4937,4937,,,,
N62_m3_as,2025-08-28 12:58:17,"traveling, foraging (t2s)",Media file,player #1:Nov2024_RFBO\62\video\MOVI0003.avi,0.0,1792.614,1792.567,30.000,No focal subject,3785.103,Eye/bill visible,view,,,,,POINT,171.667,171.667,NA,Nov2024_RFBO\62\video\MOVI0003.avi,5150,5150,,,,
N62_m3_as,2025-08-28 12:58:17,"traveling, foraging (t2s)",Media file,player #1:Nov2024_RFBO\62\video\MOVI0003.avi,0.0,1792.614,1792.567,30.000,No focal subject,3785.103,Eye/bill visible,view,,,,,POINT,180.200,180.200,NA,Nov2024_RFBO\62\video\MOVI0003.avi,5406,5406,,,,
N62_m3_as,2025-08-28 12:58:17,"traveling, foraging (t2s)",Media file,player #1:Nov2024_RFBO\62\video\MOVI0003.avi,0.0,1792.614,1792.567,30.000,No focal subject,3785.103,Eye/bill visible,view,,,,,POINT,188.167,188.167,NA,Nov2024_RFBO\62\video\MOVI0003.avi,5645,5645,,,,
N62_m3_as,2025-08-28 12:58:17,"traveling, foraging (t2s)",Media file,player #1:Nov2024_RFBO\62\video\MOVI0003.avi,0.0,1792.614,1792.567,30.000,No focal subject,3785.103,Eye/bill visible,view,,,,,POINT,204.433,204.433,NA,Nov2024_RFBO\62\video\MOVI0003.avi,6133,6133,,,,
N62_m3_as,2025-08-28 12:58:17,"traveling, foraging (t2s)",Media file,player #1:Nov2024_RFBO\62\video\MOVI0003.avi,0.0,1792.614,1792.567,30.000,No focal subject,3785.103,Eye/bill visible,view,,,,,POINT,207.967,207.967,NA,Nov2024_RFBO\62\video\MOVI0003.avi,6239,6239,,,,
N62_m3_as,2025-08-28 12:58:17,"traveling, foraging (t2s)",Media file,player #1:Nov2024_RFBO\62\video\MOVI0003.avi,0.0,1792.614,1792.567,30.000,No focal subject,3785.103,Eye/bill visible,view,,,,,POINT,211.200,211.200,NA,Nov2024_RFBO\62\video\MOVI0003.avi,6336,6336,,,,
N62_m3_as,2025-08-28 12:58:17,"traveling, foraging (t2s)",Media file,player #1:Nov2024_RFBO\62\video\MOVI0003.avi,0.0,1792.614,1792.567,30.000,No focal subject,3785.103,Eye/bill visible,view,,,,,POINT,217.700,217.700,NA,Nov2024_RFBO\62\video\MOVI0003.avi,6531,6531,,,,
N62_m3_as,2025-08-28 12:58:17,"traveling, foraging (t2s)",Media file,player #1:Nov2024_RFBO\62\video\MOVI0003.avi,0.0,1792.614,1792.567,30.000,No focal subject,3785.103,Eye/bill visible,view,,,,,POINT,221.667,221.667,NA,Nov2024_RFBO\62\video\MOVI0003.avi,6650,6650,,,,
N62_m3_as,2025-08-28 12:58:17,"traveling, foraging (t2s)",Media file,player #1:Nov2024_RFBO\62\video\MOVI0003.avi,0.0,1792.614,1792.567,30.000,No focal subject,3785.103,Eye/bill visible,view,,,,,POINT,222.033,222.033,NA,Nov2024_RFBO\62\video\MOVI0003.avi,6661,6661,,,,
N62_m3_as,2025-08-28 12:58:17,"traveling, foraging (t2s)",Media file,player #1:Nov2024_RFBO\62\video\MOVI0003.avi,0.0,1792.614,1792.567,30.000,No focal subject,3785.103,Eye/bill visible,view,,,,,POINT,229.333,229.333,NA,Nov2024_RFBO\62\video\MOVI0003.avi,6880,6880,,,,
N62_m3_as,2025-08-28 12:58:17,"traveling, foraging (t2s)",Media file,player #1:Nov2024_RFBO\62\video\MOVI0003.avi,0.0,1792.614,1792.567,30.000,No focal subject,3785.103,Eye/bill visible,view,,,,,POINT,229.667,229.667,NA,Nov2024_RFBO\62\video\MOVI0003.avi,6890,6890,,,,
N62_m3_as,2025-08-28 12:58:17,"traveling, foraging (t2s)",Media file,player #1:Nov2024_RFBO\62\video\MOVI0003.avi,0.0,1792.614,1792.567,30.000,No focal subject,3785.103,Eye/bill visible,view,,,,,POINT,239.000,239.000,NA,Nov2024_RFBO\62\video\MOVI0003.avi,7170,7170,,,,
N62_m3_as,2025-08-28 12:58:17,"traveling, foraging (t2s)",Media file,player #1:Nov2024_RFBO\62\video\MOVI0003.avi,0.0,1792.614,1792.567,30.000,No focal subject,3785.103,Eye/bill visible,view,,,,,POINT,245.567,245.567,NA,Nov2024_RFBO\62\video\MOVI0003.avi,7367,7367,,,,
N62_m3_as,2025-08-28 12:58:17,"traveling, foraging (t2s)",Media file,player #1:Nov2024_RFBO\62\video\MOVI0003.avi,0.0,1792.614,1792.567,30.000,No focal subject,3785.103,Eye/bill visible,view,,,,,POINT,245.800,245.800,NA,Nov2024_RFBO\62\video\MOVI0003.avi,7374,7374,,,,
N62_m3_as,2025-08-28 12:58:17,"traveling, foraging (t2s)",Media file,player #1:Nov2024_RFBO\62\video\MOVI0003.avi,0.0,1792.614,1792.567,30.000,No focal subject,3785.103,Eye/bill visible,view,,,,,POINT,253.033,253.033,NA,Nov2024_RFBO\62\video\MOVI0003.avi,7591,7591,,,,
N62_m3_as,2025-08-28 12:58:17,"traveling, foraging (t2s)",Media file,player #1:Nov2024_RFBO\62\video\MOVI0003.avi,0.0,1792.614,1792.567,30.000,No focal subject,3785.103,Eye/bill visible,view,,,,,POINT,253.500,253.500,NA,Nov2024_RFBO\62\video\MOVI0003.avi,7605,7605,,,,
N62_m3_as,2025-08-28 12:58:17,"traveling, foraging (t2s)",Media file,player #1:Nov2024_RFBO\62\video\MOVI0003.avi,0.0,1792.614,1792.567,30.000,No focal subject,3785.103,Identifiable/individual birds,view,1,brown noddy,adult,cross paths,POINT,254.667,254.667,NA,Nov2024_RFBO\62\video\MOVI0003.avi,7640,7640,,,,
N62_m3_as,2025-08-28 12:58:17,"traveling, foraging (t2s)",Media file,player #1:Nov2024_RFBO\62\video\MOVI0003.avi,0.0,1792.614,1792.567,30.000,No focal subject,3785.103,Identifiable/individual birds,view,1,unkown,unkown,cross paths,POINT,256.867,256.867,NA,Nov2024_RFBO\62\video\MOVI0003.avi,7706,7706,,,,
N62_m3_as,2025-08-28 12:58:17,"traveling, foraging (t2s)",Media file,player #1:Nov2024_RFBO\62\video\MOVI0003.avi,0.0,1792.614,1792.567,30.000,No focal subject,3785.103,Eye/bill visible,view,,,,,POINT,257.467,257.467,NA,Nov2024_RFBO\62\video\MOVI0003.avi,7724,7724,,,,
N62_m3_as,2025-08-28 12:58:17,"traveling, foraging (t2s)",Media file,player #1:Nov2024_RFBO\62\video\MOVI0003.avi,0.0,1792.614,1792.567,30.000,No focal subject,3785.103,Eye/bill visible,view,,,,,POINT,258.300,258.300,NA,Nov2024_RFBO\62\video\MOVI0003.avi,7749,7749,,,,
N62_m3_as,2025-08-28 12:58:17,"traveling, foraging (t2s)",Media file,player #1:Nov2024_RFBO\62\video\MOVI0003.avi,0.0,1792.614,1792.567,30.000,No focal subject,3785.103,Eye/bill visible,view,,,,,POINT,264.900,264.900,NA,Nov2024_RFBO\62\video\MOVI0003.avi,7947,7947,,,,
N62_m3_as,2025-08-28 12:58:17,"traveling, foraging (t2s)",Media file,player #1:Nov2024_RFBO\62\video\MOVI0003.avi,0.0,1792.614,1792.567,30.000,No focal subject,3785.103,partially obscured,view,blurry/water,,,,STATE,266.267,269.299,3.032,Nov2024_RFBO\62\video\MOVI0003.avi,7988,NA,,,,
N62_m3_as,2025-08-28 12:58:17,"traveling, foraging (t2s)",Media file,player #1:Nov2024_RFBO\62\video\MOVI0003.avi,0.0,1792.614,1792.567,30.000,No focal subject,3785.103,Eye/bill visible,view,,,,,POINT,267.767,267.767,NA,Nov2024_RFBO\62\video\MOVI0003.avi,8033,8033,,,,
