Observation id,Observation date,Description,Observation type,Source,Time offset (s),Coding duration,Media duration (s),FPS (frame/s),Subject,Observation duration by subject by observation,Behavior,Behavioral category,Modifier #1,Modifier #2,Modifier #3,Modifier #4,Modifier #5,Behavior type,Start (s),Stop (s),Duration (s),Media file name,Image index start,Image index stop,Image file path start,Image file path stop,Comment start,Comment stop
N19_m1_as,2025-07-28 15:39:39,footage is upside down( flip in BORIS)- traveling and resting-mostly obscured- timestamp off??,Media file,player #1:nest_19_data\VIDEO\MOVI0001.avi,0.0,1799.944,1800.033,30.000,No focal subject,3599.734,unknownState,position,,,,,,STATE,0.067,177.766,177.699,nest_19_data\VIDEO\MOVI0001.avi,2,NA,,,,
N19_m1_as,2025-07-28 15:39:39,footage is upside down( flip in BORIS)- traveling and resting-mostly obscured- timestamp off??,Media file,player #1:nest_19_data\VIDEO\MOVI0001.avi,0.0,1799.944,1800.033,30.000,No focal subject,3599.734,obscured,view,feathers,,,,,STATE,0.067,177.766,177.699,nest_19_data\VIDEO\MOVI0001.avi,2,NA,,,,
N19_m1_as,2025-07-28 15:39:39,footage is upside down( flip in BORIS)- traveling and resting-mostly obscured- timestamp off??,Media file,player #1:nest_19_data\VIDEO\MOVI0001.avi,0.0,1799.944,1800.033,30.000,No focal subject,3599.734,Airborne,position,,,,,,STATE,177.767,359.666,181.899,nest_19_data\VIDEO\MOVI0001.avi,5333,NA,,,,
N19_m1_as,2025-07-28 15:39:39,footage is upside down( flip in BORIS)- traveling and resting-mostly obscured- timestamp off??,Media file,player #1:nest_19_data\VIDEO\MOVI0001.avi,0.0,1799.944,1800.033,30.000,No focal subject,3599.734,partially obscured,view,blurry/water,,,,,STATE,177.767,216.632,38.865,nest_19_data\VIDEO\MOVI0001.avi,5333,NA,,,,
N19_m1_as,2025-07-28 15:39:39,footage is upside down( flip in BORIS)- traveling and resting-mostly obscured- timestamp off??,Media file,player #1:nest_19_data\VIDEO\MOVI0001.avi,0.0,1799.944,1800.033,30.000,No focal subject,3599.734,obscured,view,feathers,,,,,STATE,216.633,557.632,340.999,nest_19_data\VIDEO\MOVI0001.avi,6499,NA,,,,
N19_m1_as,2025-07-28 15:39:39,footage is upside down( flip in BORIS)- traveling and resting-mostly obscured- timestamp off??,Media file,player #1:nest_19_data\VIDEO\MOVI0001.avi,0.0,1799.944,1800.033,30.000,No focal subject,3599.734,unknownState,position,,,,,,STATE,359.667,557.632,197.965,nest_19_data\VIDEO\MOVI0001.avi,10790,NA,,,,
N19_m1_as,2025-07-28 15:39:39,footage is upside down( flip in BORIS)- traveling and resting-mostly obscured- timestamp off??,Media file,player #1:nest_19_data\VIDEO\MOVI0001.avi,0.0,1799.944,1800.033,30.000,No focal subject,3599.734,Airborne,position,,,,,,STATE,557.633,647.699,90.066,nest_19_data\VIDEO\MOVI0001.avi,16729,NA,,,,
N19_m1_as,2025-07-28 15:39:39,footage is upside down( flip in BORIS)- traveling and resting-mostly obscured- timestamp off??,Media file,player #1:nest_19_data\VIDEO\MOVI0001.avi,0.0,1799.944,1800.033,30.000,No focal subject,3599.734,partially obscured,view,blurry/water,,,,,STATE,557.633,567.499,9.866,nest_19_data\VIDEO\MOVI0001.avi,16729,NA,,,,
N19_m1_as,2025-07-28 15:39:39,footage is upside down( flip in BORIS)- traveling and resting-mostly obscured- timestamp off??,Media file,player #1:nest_19_data\VIDEO\MOVI0001.avi,0.0,1799.944,1800.033,30.000,No focal subject,3599.734,obscured,view,feathers,,,,,STATE,567.500,870.266,302.766,nest_19_data\VIDEO\MOVI0001.avi,17025,NA,,,,
N19_m1_as,2025-07-28 15:39:39,footage is upside down( flip in BORIS)- traveling and resting-mostly obscured- timestamp off??,Media file,player #1:nest_19_data\VIDEO\MOVI0001.avi,0.0,1799.944,1800.033,30.000,No focal subject,3599.734,unknownState,position,,,,,,STATE,647.700,870.266,222.566,nest_19_data\VIDEO\MOVI0001.avi,19431,NA,,,,
