Observation id,Observation date,Description,Observation type,Source,Time offset (s),Coding duration,Media duration (s),FPS (frame/s),Subject,Observation duration by subject by observation,Behavior,Behavioral category,Modifier #1,Modifier #2,Modifier #3,Modifier #4,Behavior type,Start (s),Stop (s),Duration (s),Media file name,Image index start,Image index stop,Image file path start,Image file path stop,Comment start,Comment stop
5312203_m3,2025-11-04 12:02:54.661,,Media file,player #1:camera data\53103videos\MOVI0003.avi,0.0,1799.944,1800.033,30.000,No focal subject,5328.13,Airborne,position,,,,,STATE,0.067,72.699,72.632,camera data\53103videos\MOVI0003.avi,2,NA,,,,
5312203_m3,2025-11-04 12:02:54.661,,Media file,player #1:camera data\53103videos\MOVI0003.avi,0.0,1799.944,1800.033,30.000,No focal subject,5328.13,Identifiable/individual birds,view,2,RFBO,adult,cross paths,POINT,0.067,0.067,NA,camera data\53103videos\MOVI0003.avi,2,2,,,,
5312203_m3,2025-11-04 12:02:54.661,,Media file,player #1:camera data\53103videos\MOVI0003.avi,0.0,1799.944,1800.033,30.000,No focal subject,5328.13,weather notes,Not defined,light partial clouds,sun glare,2 - small wavelets glassy crests not breaking,,STATE,0.067,1800.011,1799.944,camera data\53103videos\MOVI0003.avi,2,54000,,,,
5312203_m3,2025-11-04 12:02:54.661,,Media file,player #1:camera data\53103videos\MOVI0003.avi,0.0,1799.944,1800.033,30.000,No focal subject,5328.13,Identifiable/individual birds,view,1,RFBO,adult,sitting,POINT,4.267,4.267,NA,camera data\53103videos\MOVI0003.avi,128,128,,,,
5312203_m3,2025-11-04 12:02:54.661,,Media file,player #1:camera data\53103videos\MOVI0003.avi,0.0,1799.944,1800.033,30.000,No focal subject,5328.13,Prey,view,,,,,POINT,5.267,5.267,NA,camera data\53103videos\MOVI0003.avi,158,158,,,,
5312203_m3,2025-11-04 12:02:54.661,,Media file,player #1:camera data\53103videos\MOVI0003.avi,0.0,1799.944,1800.033,30.000,No focal subject,5328.13,Identifiable/individual birds,view,1,RFBO,adult,parallel flight,POINT,14.933,14.933,NA,camera data\53103videos\MOVI0003.avi,448,448,,,,
5312203_m3,2025-11-04 12:02:54.661,,Media file,player #1:camera data\53103videos\MOVI0003.avi,0.0,1799.944,1800.033,30.000,No focal subject,5328.13,Identifiable/individual birds,view,3,booby- Sula sp,unkown,sitting,POINT,30.367,30.367,NA,camera data\53103videos\MOVI0003.avi,911,911,,,,
5312203_m3,2025-11-04 12:02:54.661,,Media file,player #1:camera data\53103videos\MOVI0003.avi,0.0,1799.944,1800.033,30.000,No focal subject,5328.13,Identifiable/individual birds,view,1,RFBO,adult,cross paths,POINT,32.333,32.333,NA,camera data\53103videos\MOVI0003.avi,970,970,,,,
5312203_m3,2025-11-04 12:02:54.661,,Media file,player #1:camera data\53103videos\MOVI0003.avi,0.0,1799.944,1800.033,30.000,No focal subject,5328.13,Eye/bill visible,view,,,,,POINT,50.500,50.500,NA,camera data\53103videos\MOVI0003.avi,1515,1515,,,,
5312203_m3,2025-11-04 12:02:54.661,,Media file,player #1:camera data\53103videos\MOVI0003.avi,0.0,1799.944,1800.033,30.000,No focal subject,5328.13,Dive,position,,,,,STATE,52.800,54.566,1.766,camera data\53103videos\MOVI0003.avi,1584,NA,,,,
5312203_m3,2025-11-04 12:02:54.661,,Media file,player #1:camera data\53103videos\MOVI0003.avi,0.0,1799.944,1800.033,30.000,No focal subject,5328.13,ab0rt dive,position,,,,,POINT,54.567,54.567,NA,camera data\53103videos\MOVI0003.avi,1637,1637,,,,
5312203_m3,2025-11-04 12:02:54.661,,Media file,player #1:camera data\53103videos\MOVI0003.avi,0.0,1799.944,1800.033,30.000,No focal subject,5328.13,prey Capture,view,aborted plunge dive,Failed,None,,POINT,54.567,54.567,NA,camera data\53103videos\MOVI0003.avi,1637,1637,,,,
