Observation id,Observation date,Description,Observation type,Source,Time offset (s),Coding duration,Media duration (s),FPS (frame/s),Subject,Observation duration by subject by observation,Behavior,Behavioral category,Modifier #1,Modifier #2,Modifier #3,Modifier #4,Modifier #5,Behavior type,Start (s),Stop (s),Duration (s),Media file name,Image index start,Image index stop,Image file path start,Image file path stop,Comment start,Comment stop
N29_m5_AF,2023-11-18 18:12:24,traveling and resting,Media file,player #1:nest_29_data\VIDEO\MOVI0005.avi,0.0,1798.202,1800.033,30.000,No focal subject,4843.53,obscured,view,unknown/other,,,,,STATE,1.800,270.299,268.499,nest_29_data\VIDEO\MOVI0005.avi,54,NA,,,,
N29_m5_AF,2023-11-18 18:12:24,traveling and resting,Media file,player #1:nest_29_data\VIDEO\MOVI0005.avi,0.0,1798.202,1800.033,30.000,No focal subject,4843.53,partially obscured,view,feathers,,,,,STATE,270.300,270.600,0.300,nest_29_data\VIDEO\MOVI0005.avi,8109,8118,,,,
N29_m5_AF,2023-11-18 18:12:24,traveling and resting,Media file,player #1:nest_29_data\VIDEO\MOVI0005.avi,0.0,1798.202,1800.033,30.000,No focal subject,4843.53,Takeoff,position,,,,,,POINT,270.500,270.500,NA,nest_29_data\VIDEO\MOVI0005.avi,8115,8115,,,,
N29_m5_AF,2023-11-18 18:12:24,traveling and resting,Media file,player #1:nest_29_data\VIDEO\MOVI0005.avi,0.0,1798.202,1800.033,30.000,No focal subject,4843.53,partially obscured,view,blurry/water,,,,,STATE,271.000,875.767,604.767,nest_29_data\VIDEO\MOVI0005.avi,8130,26273,,,,
N29_m5_AF,2023-11-18 18:12:24,traveling and resting,Media file,player #1:nest_29_data\VIDEO\MOVI0005.avi,0.0,1798.202,1800.033,30.000,No focal subject,4843.53,Airborne,position,,,,,,STATE,274.167,875.866,601.699,nest_29_data\VIDEO\MOVI0005.avi,8225,NA,,,,
N29_m5_AF,2023-11-18 18:12:24,traveling and resting,Media file,player #1:nest_29_data\VIDEO\MOVI0005.avi,0.0,1798.202,1800.033,30.000,No focal subject,4843.53,weather notes,Not defined,light partial clouds,None,3 - large wavelets crests breaking some scttered whitecaps,,,STATE,275.800,1800.002,1524.202,nest_29_data\VIDEO\MOVI0005.avi,8274,NA,,,,Event automatically added by the fix unpaired state events function
N29_m5_AF,2023-11-18 18:12:24,traveling and resting,Media file,player #1:nest_29_data\VIDEO\MOVI0005.avi,0.0,1798.202,1800.033,30.000,No focal subject,4843.53,other Birds present,view,5,unknown,flying,mid distance - shape and movement visible,mid,POINT,300.033,300.033,NA,nest_29_data\VIDEO\MOVI0005.avi,9001,9001,,,,
N29_m5_AF,2023-11-18 18:12:24,traveling and resting,Media file,player #1:nest_29_data\VIDEO\MOVI0005.avi,0.0,1798.202,1800.033,30.000,No focal subject,4843.53,other Birds present,view,0,None,None,None,None,POINT,330.033,330.033,NA,nest_29_data\VIDEO\MOVI0005.avi,9901,9901,,,,
N29_m5_AF,2023-11-18 18:12:24,traveling and resting,Media file,player #1:nest_29_data\VIDEO\MOVI0005.avi,0.0,1798.202,1800.033,30.000,No focal subject,4843.53,other Birds present,view,0,None,None,None,None,POINT,360.000,360.000,NA,nest_29_data\VIDEO\MOVI0005.avi,10800,10800,,,,
N29_m5_AF,2023-11-18 18:12:24,traveling and resting,Media file,player #1:nest_29_data\VIDEO\MOVI0005.avi,0.0,1798.202,1800.033,30.000,No focal subject,4843.53,Identifiable/individual birds,view,1,RFBO,adult,parallel flight,,POINT,367.967,367.967,NA,nest_29_data\VIDEO\MOVI0005.avi,11039,11039,,,,
