Observation id,Observation date,Description,Observation type,Source,Time offset (s),Coding duration,Media duration (s),FPS (frame/s),Subject,Observation duration by subject by observation,Behavior,Behavioral category,Modifier #1,Modifier #2,Modifier #3,Modifier #4,Modifier #5,Behavior type,Start (s),Stop (s),Duration (s),Media file name,Image index start,Image index stop,Image file path start,Image file path stop,Comment start,Comment stop
N43_m4_EF,2025-07-15 14:02:12,4sec,Media file,player #1:nest_43_data\VIDEO\MOVI0004.avi,0.0,3.483,3.500,30.000,No focal subject,6.966,Airborne,position,,,,,,STATE,0.000,3.483,3.483,nest_43_data\VIDEO\MOVI0004.avi,2,104,,,,
N43_m4_EF,2025-07-15 14:02:12,4sec,Media file,player #1:nest_43_data\VIDEO\MOVI0004.avi,0.0,3.483,3.500,30.000,No focal subject,6.966,other Birds present,view,1,RFBO,flying,close - well defined body and movements,close,POINT,0.000,0.000,NA,nest_43_data\VIDEO\MOVI0004.avi,5,5,,,,
N43_m4_EF,2025-07-15 14:02:12,4sec,Media file,player #1:nest_43_data\VIDEO\MOVI0004.avi,0.0,3.483,3.500,30.000,No focal subject,6.966,weather notes,Not defined,heavy partial clouds,None,3 - large wavelets crests breaking some scttered whitecaps,,,STATE,0.000,3.483,3.483,nest_43_data\VIDEO\MOVI0004.avi,2,104,,,,
