Observation id,Observation date,Description,Observation type,Source,Time offset (s),Coding duration,Media duration (s),FPS (frame/s),Subject,Observation duration by subject by observation,Behavior,Behavioral category,Modifier #1,Modifier #2,Modifier #3,Modifier #4,Behavior type,Start (s),Stop (s),Duration (s),Media file name,Image index start,Image index stop,Image file path start,Image file path stop,Comment start,Comment stop
N62_m4_as,2025-09-09 10:59:52,"traveling and foraging, no t3, tuna",Media file,player #1:Nov2024_RFBO\62\video\MOVI0004.avi,0.0,1799.933,1800.033,30.000,No focal subject,4072.637,Identifiable/individual birds,view,1,RFBO,adult,sitting,POINT,288.267,288.267,NA,Nov2024_RFBO\62\video\MOVI0004.avi,8648,8648,,,,
N62_m4_as,2025-09-09 10:59:52,"traveling and foraging, no t3, tuna",Media file,player #1:Nov2024_RFBO\62\video\MOVI0004.avi,0.0,1799.933,1800.033,30.000,No focal subject,4072.637,Identifiable/individual birds,view,1,RFBO,adult,cross paths,POINT,288.900,288.900,NA,Nov2024_RFBO\62\video\MOVI0004.avi,8667,8667,,,,
N62_m4_as,2025-09-09 10:59:52,"traveling and foraging, no t3, tuna",Media file,player #1:Nov2024_RFBO\62\video\MOVI0004.avi,0.0,1799.933,1800.033,30.000,No focal subject,4072.637,Identifiable/individual birds,view,1,unkown,unkown,cross paths,POINT,290.167,290.167,NA,Nov2024_RFBO\62\video\MOVI0004.avi,8705,8705,,,,
N62_m4_as,2025-09-09 10:59:52,"traveling and foraging, no t3, tuna",Media file,player #1:Nov2024_RFBO\62\video\MOVI0004.avi,0.0,1799.933,1800.033,30.000,No focal subject,4072.637,Eye/bill visible,view,,,,,POINT,298.067,298.067,NA,Nov2024_RFBO\62\video\MOVI0004.avi,8942,8942,,,,
N62_m4_as,2025-09-09 10:59:52,"traveling and foraging, no t3, tuna",Media file,player #1:Nov2024_RFBO\62\video\MOVI0004.avi,0.0,1799.933,1800.033,30.000,No focal subject,4072.637,Eye/bill visible,view,,,,,POINT,299.500,299.500,NA,Nov2024_RFBO\62\video\MOVI0004.avi,8985,8985,,,,
N62_m4_as,2025-09-09 10:59:52,"traveling and foraging, no t3, tuna",Media file,player #1:Nov2024_RFBO\62\video\MOVI0004.avi,0.0,1799.933,1800.033,30.000,No focal subject,4072.637,Identifiable/individual birds,view,1,RFBO,adult,cross paths,POINT,300.533,300.533,NA,Nov2024_RFBO\62\video\MOVI0004.avi,9016,9016,,,,
N62_m4_as,2025-09-09 10:59:52,"traveling and foraging, no t3, tuna",Media file,player #1:Nov2024_RFBO\62\video\MOVI0004.avi,0.0,1799.933,1800.033,30.000,No focal subject,4072.637,Eye/bill visible,view,,,,,POINT,301.400,301.400,NA,Nov2024_RFBO\62\video\MOVI0004.avi,9042,9042,,,,
N62_m4_as,2025-09-09 10:59:52,"traveling and foraging, no t3, tuna",Media file,player #1:Nov2024_RFBO\62\video\MOVI0004.avi,0.0,1799.933,1800.033,30.000,No focal subject,4072.637,Identifiable/individual birds,view,1,RFBO,adult,cross paths,POINT,306.800,306.800,NA,Nov2024_RFBO\62\video\MOVI0004.avi,9204,9204,,,,
N62_m4_as,2025-09-09 10:59:52,"traveling and foraging, no t3, tuna",Media file,player #1:Nov2024_RFBO\62\video\MOVI0004.avi,0.0,1799.933,1800.033,30.000,No focal subject,4072.637,Identifiable/individual birds,view,1rax,None,None,None,POINT,308.133,308.133,NA,Nov2024_RFBO\62\video\MOVI0004.avi,9244,9244,,,,
N62_m4_as,2025-09-09 10:59:52,"traveling and foraging, no t3, tuna",Media file,player #1:Nov2024_RFBO\62\video\MOVI0004.avi,0.0,1799.933,1800.033,30.000,No focal subject,4072.637,Identifiable/individual birds,view,1,RFBO,adult,parallel flight,POINT,310.767,310.767,NA,Nov2024_RFBO\62\video\MOVI0004.avi,9323,9323,,,,
