Observation id,Observation date,Description,Observation type,Source,Time offset (s),Coding duration,Media duration (s),FPS (frame/s),Subject,Observation duration by subject by observation,Behavior,Behavioral category,Modifier #1,Modifier #2,Modifier #3,Modifier #4,Modifier #5,Behavior type,Start (s),Stop (s),Duration (s),Media file name,Image index start,Image index stop,Image file path start,Image file path stop,Comment start,Comment stop
N42_m0_EF,2025-07-09 13:12:40,"traveling, small amount of foraging",Media file,player #1:nest_42_data\VIDEO\MOVI0000.avi,0.0,1800.011,1800.033,30.000,No focal subject,7179.091,obscured,view,feathers,,,,,STATE,0.000,773.067,773.067,nest_42_data\VIDEO\MOVI0000.avi,NA,16536,,,Event automatically added by the fix unpaired state events function,
N42_m0_EF,2025-07-09 13:12:40,"traveling, small amount of foraging",Media file,player #1:nest_42_data\VIDEO\MOVI0000.avi,0.0,1800.011,1800.033,30.000,No focal subject,7179.091,obscured,view,None,,,,,STATE,0.001,1238.400,1238.399,nest_42_data\VIDEO\MOVI0000.avi,NA,37151,,,Event automatically added by the fix unpaired state events function,
N42_m0_EF,2025-07-09 13:12:40,"traveling, small amount of foraging",Media file,player #1:nest_42_data\VIDEO\MOVI0000.avi,0.0,1800.011,1800.033,30.000,No focal subject,7179.091,Airborne,position,,,,,,STATE,0.100,56.099,55.999,nest_42_data\VIDEO\MOVI0000.avi,3,NA,,,,
N42_m0_EF,2025-07-09 13:12:40,"traveling, small amount of foraging",Media file,player #1:nest_42_data\VIDEO\MOVI0000.avi,0.0,1800.011,1800.033,30.000,No focal subject,7179.091,weather notes,Not defined,overcast - solid cloud layer,rain,2 - small wavelets glassy crests not breaking,,,STATE,0.100,1800.011,1799.911,nest_42_data\VIDEO\MOVI0000.avi,3,53999,,,,
N42_m0_EF,2025-07-09 13:12:40,"traveling, small amount of foraging",Media file,player #1:nest_42_data\VIDEO\MOVI0000.avi,0.0,1800.011,1800.033,30.000,No focal subject,7179.091,other Birds present,view,15,"RFBO,unknown","flying,pile",mid distance - shape and movement visible,mid,POINT,30.000,30.000,NA,nest_42_data\VIDEO\MOVI0000.avi,900,900,,,,
N42_m0_EF,2025-07-09 13:12:40,"traveling, small amount of foraging",Media file,player #1:nest_42_data\VIDEO\MOVI0000.avi,0.0,1800.011,1800.033,30.000,No focal subject,7179.091,Identifiable/individual birds,view,1,RFBO,adult,cross paths,,POINT,31.767,31.767,NA,nest_42_data\VIDEO\MOVI0000.avi,953,953,,,,
N42_m0_EF,2025-07-09 13:12:40,"traveling, small amount of foraging",Media file,player #1:nest_42_data\VIDEO\MOVI0000.avi,0.0,1800.011,1800.033,30.000,No focal subject,7179.091,unknownState,position,,,,,,STATE,56.100,56.966,0.866,nest_42_data\VIDEO\MOVI0000.avi,1683,NA,,,,
N42_m0_EF,2025-07-09 13:12:40,"traveling, small amount of foraging",Media file,player #1:nest_42_data\VIDEO\MOVI0000.avi,0.0,1800.011,1800.033,30.000,No focal subject,7179.091,Airborne,position,,,,,,STATE,56.967,1800.011,1743.044,nest_42_data\VIDEO\MOVI0000.avi,1709,53999,,,,
N42_m0_EF,2025-07-09 13:12:40,"traveling, small amount of foraging",Media file,player #1:nest_42_data\VIDEO\MOVI0000.avi,0.0,1800.011,1800.033,30.000,No focal subject,7179.091,other Birds present,view,16,"RFBO,other,brown noddy",flying,mid distance - shape and movement visible,mid,POINT,60.000,60.000,NA,nest_42_data\VIDEO\MOVI0000.avi,1800,1800,,,,
N42_m0_EF,2025-07-09 13:12:40,"traveling, small amount of foraging",Media file,player #1:nest_42_data\VIDEO\MOVI0000.avi,0.0,1800.011,1800.033,30.000,No focal subject,7179.091,Identifiable/individual birds,view,1,brown noddy,adult,cross paths,,POINT,61.400,61.400,NA,nest_42_data\VIDEO\MOVI0000.avi,1842,1842,,,,
